                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.65077,                0.60362,                 1.2006,                0.90855,                0.73815,                0.87202,                 0.6234,                0.89803,                0.79775,                 1.3859,               0.070273,               0.003303,               0.003303
                      1,                0.65833,                0.63886,                 1.2039,                 0.8997,                0.78267,                0.86248,                0.59727,                0.91868,                0.85862,                 1.4171,               0.040141,               0.006505,               0.006505
                      2,                0.67587,                 0.6496,                 1.2084,                0.83087,                0.73633,                0.80188,                 0.5302,                0.96439,                0.89716,                 1.4863,              0.0098779,              0.0095749,              0.0095749
                      3,                0.74696,                0.72084,                 1.2605,                0.79769,                0.77228,                 0.8276,                0.56256,                 1.0074,                0.92838,                 1.4924,               0.009406,               0.009406,               0.009406
                      4,                0.75831,                 0.7464,                 1.2793,                0.83669,                0.69947,                0.79387,                0.51376,                 1.0019,                0.94229,                 1.5133,               0.009406,               0.009406,               0.009406
                      5,                0.77699,                0.77715,                 1.2895,                0.78005,                0.82073,                0.84969,                0.55864,                 0.9933,                0.95693,                 1.5209,               0.009208,               0.009208,               0.009208
                      6,                0.78715,                 0.7812,                  1.295,                0.83725,                0.73444,                0.83175,                0.56235,                  1.003,                0.97938,                 1.5008,                0.00901,                0.00901,                0.00901
                      7,                0.77814,                0.76638,                 1.2879,                0.79622,                0.79759,                0.83744,                0.58063,                 1.0272,                0.90755,                 1.4978,               0.008812,               0.008812,               0.008812
                      8,                0.75831,                0.75106,                 1.2738,                0.88435,                0.72663,                0.84881,                 0.5779,                0.97315,                0.88156,                 1.4452,               0.008614,               0.008614,               0.008614
                      9,                0.76189,                0.75857,                 1.2715,                 0.8214,                0.80571,                0.84631,                0.56931,                 0.9668,                0.86716,                 1.4591,               0.008416,               0.008416,               0.008416
                     10,                0.78149,                0.76955,                 1.2916,                0.78633,                0.80164,                0.83975,                0.55156,                0.96644,                0.88398,                 1.4447,               0.008218,               0.008218,               0.008218
                     11,                0.76944,                  0.751,                 1.2799,                0.82418,                0.81366,                0.85517,                0.57471,                0.99215,                0.85752,                 1.5123,                0.00802,                0.00802,                0.00802
                     12,                0.76889,                0.76802,                  1.289,                0.87659,                0.73135,                0.82087,                0.52946,                0.97002,                0.87087,                 1.4521,               0.007822,               0.007822,               0.007822
                     13,                0.75265,                0.73048,                 1.2695,                0.84823,                0.76912,                0.83474,                0.56589,                 0.9584,                0.89134,                 1.4718,               0.007624,               0.007624,               0.007624
                     14,                 0.7446,                0.73604,                 1.2683,                0.85042,                0.82814,                0.84999,                 0.6107,                0.92494,                 0.9017,                 1.4207,               0.007426,               0.007426,               0.007426
                     15,                0.74768,                0.71513,                 1.2645,                0.85519,                0.71616,                0.81811,                0.53682,                0.96349,                0.92525,                 1.4382,               0.007228,               0.007228,               0.007228
